GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CATAMS,com.usyd.catams.repository,TimesheetRepository,0,23,0,0,0,4,0,4,0,4
CATAMS,com.usyd.catams.dto.response,DashboardSummaryResponse,35,51,0,0,17,18,9,9,9,9
CATAMS,com.usyd.catams.dto.response,UserResponse,29,27,0,0,11,10,6,5,6,5
CATAMS,com.usyd.catams.dto.response,ErrorResponse.ErrorResponseBuilder,8,66,1,1,3,20,2,8,1,8
CATAMS,com.usyd.catams.dto.response,SuccessResponse,61,0,0,0,20,0,10,0,10,0
CATAMS,com.usyd.catams.dto.response,PagedTimesheetResponse.PageInfo,18,102,0,2,1,36,1,19,1,18
CATAMS,com.usyd.catams.dto.response,BudgetUsage,28,18,0,0,12,7,8,2,8,2
CATAMS,com.usyd.catams.dto.response,TimesheetResponse,36,211,3,5,3,76,4,36,1,35
CATAMS,com.usyd.catams.dto.response,WorkloadAnalysis,39,27,0,0,17,10,11,3,11,3
CATAMS,com.usyd.catams.dto.response,RecentActivity,52,24,0,0,22,9,15,1,15,1
CATAMS,com.usyd.catams.dto.response,PagedTimesheetResponse,23,71,0,0,6,26,2,14,2,14
CATAMS,com.usyd.catams.dto.response,PendingItem,52,24,0,0,22,9,15,1,15,1
CATAMS,com.usyd.catams.dto.response,AuthResult,19,27,0,0,10,10,5,5,5,5
CATAMS,com.usyd.catams.dto.response,ErrorResponse,37,52,0,0,17,18,8,9,8,9
CATAMS,com.usyd.catams.dto.response,ApprovalActionResponse,100,95,11,8,28,26,20,18,10,15
CATAMS,com.usyd.catams.domain.service,ApprovalDomainService,69,108,18,12,17,25,17,13,3,7
CATAMS,com.usyd.catams.domain.service,TimesheetDomainService,113,202,37,35,19,53,33,25,4,17
CATAMS,com.usyd.catams.enums,PendingItemType,0,33,0,0,0,6,0,1,0,1
CATAMS,com.usyd.catams.enums,UserRole,3,39,0,0,1,8,1,2,1,2
CATAMS,com.usyd.catams.enums,ActivityType,0,57,0,0,0,10,0,1,0,1
CATAMS,com.usyd.catams.enums,ApprovalStatus,20,267,7,28,5,36,8,23,1,9
CATAMS,com.usyd.catams.enums,Priority,0,27,0,0,0,5,0,1,0,1
CATAMS,com.usyd.catams.enums,ApprovalAction,48,98,13,18,11,22,11,15,2,7
CATAMS,com.usyd.catams.dto,TimesheetSummaryData,4,43,4,4,0,10,4,5,0,5
CATAMS,com.usyd.catams.dto.request,AuthenticationRequest,9,17,0,0,4,8,1,5,1,5
CATAMS,com.usyd.catams.dto.request,TimesheetUpdateRequest,72,36,18,0,11,16,11,8,2,8
CATAMS,com.usyd.catams.dto.request,ApprovalActionRequest,60,66,11,7,14,20,9,15,3,12
CATAMS,com.usyd.catams.dto.request,UserCreateRequest,23,31,0,0,7,14,2,9,2,9
CATAMS,com.usyd.catams.dto.request,TimesheetCreateRequest,31,78,6,2,5,30,6,15,2,15
CATAMS,com.usyd.catams.controller,ApprovalController,8,42,0,0,2,13,1,3,1,3
CATAMS,com.usyd.catams.controller,DashboardController,228,10,22,0,50,4,17,2,6,2
CATAMS,com.usyd.catams.controller,UserController,0,16,0,0,0,5,0,2,0,2
CATAMS,com.usyd.catams.controller,TimesheetController,83,307,24,34,23,74,23,16,0,10
CATAMS,com.usyd.catams.controller,AuthController,0,14,0,0,0,5,0,2,0,2
CATAMS,com.usyd.catams.security,JsonAuthenticationEntryPoint,0,39,0,0,0,14,0,2,0,2
CATAMS,com.usyd.catams.security,JwtTokenProvider,64,116,1,3,25,42,2,9,1,8
CATAMS,com.usyd.catams.security,JwtAuthenticationFilter,17,137,11,13,5,34,11,6,0,5
CATAMS,com.usyd.catams.security,AuthenticationUtils,116,18,21,3,26,5,15,2,3,2
CATAMS,com.usyd.catams.application,ApprovalApplicationService,242,180,11,4,39,48,27,8,19,7
CATAMS,com.usyd.catams.application,TimesheetApplicationService,1146,0,100,0,199,0,109,0,51,0
CATAMS,com.usyd.catams.common.domain.model.converter,WeekPeriodConverter,19,0,4,0,3,0,5,0,3,0
CATAMS,com.usyd.catams.common.domain.model.converter,CourseCodeConverter,23,0,6,0,3,0,6,0,3,0
CATAMS,com.usyd.catams.common.domain.model.converter,EmailConverter,23,0,6,0,3,0,6,0,3,0
CATAMS,com.usyd.catams.common.domain.model,Email,140,117,22,14,24,28,23,11,6,10
CATAMS,com.usyd.catams.common.domain.model,WeekPeriod,255,68,21,5,42,20,32,10,20,9
CATAMS,com.usyd.catams.common.domain.model,Money.CurrencyCode,3,49,0,0,1,10,1,3,1,3
CATAMS,com.usyd.catams.common.domain.model,CourseCode,243,149,51,19,43,38,43,14,11,11
CATAMS,com.usyd.catams.common.domain.model,Money,223,200,24,18,36,43,34,22,17,18
